schema_version,run_id,run_name,task_name,model,teacher_model,ts_start_utc,ts_end_utc,duration_s,seed,config_hash,git_commit_sha,git_dirty,device,device_name,epochs,epochs_ran,early_stop_patience,early_stop_min_delta,early_stopped,stopped_epoch,best_epoch,lr,weight_decay,batch_size,optimizer,scheduler,sr,n_mels,clip_seconds,class_weights,dataset_commit,cache_fingerprint,best_val_loss,best_val_f1,best_val_acc,best_val_precision_macro,best_val_recall_macro,best_val_balanced_acc,test_loss,test_f1,test_acc,test_precision_macro,test_recall_macro,test_balanced_acc,params,teacher_params,compression_ratio,model_size_mb,cpu_latency_ms,artifact_dir,metrics_json,epoch_metrics_csv,test_metrics_csv,class_metrics_csv,test_cm_csv,best_checkpoint,last_checkpoint,optimizer_checkpoint,scheduler_checkpoint,rng_checkpoint,rnn_hidden,rnn_layers,cbam_reduction,cbam_sa_kernel,att_mode,alpha,tau
v2,p1_crnn_seed42-s42-620522e7a73b,p1_crnn_seed42,sleep_event_classification,crnn,,2026-02-08T17:41:13.935Z,2026-02-09T02:43:58.306Z,32564.370946,42,620522e7a73b,61795620aef853e5d9458a9a3c8595c33b0a45c2,True,mps,Apple MPS GPU,50,15,5,0.0,1,15,10,0.001,1e-05,64,Adam,,16000,64,5.0,"1.0,1.5,5.5",,,0.484868,0.795672,0.834544,0.794774,0.796939,0.796939,0.430392,0.828239,0.861217,0.809154,0.857049,0.857049,73411,,,0.280041,5.355787,results/runs/p1_crnn_seed42,results/runs/p1_crnn_seed42/metrics.json,results/runs/p1_crnn_seed42/epoch_metrics.csv,results/runs/p1_crnn_seed42/test_metrics.csv,results/runs/p1_crnn_seed42/class_metrics.csv,results/runs/p1_crnn_seed42/test_confusion_matrix.csv,results/runs/p1_crnn_seed42/checkpoints/best_model.pth,results/runs/p1_crnn_seed42/checkpoints/last_model.pth,results/runs/p1_crnn_seed42/checkpoints/optimizer_last.pth,,results/runs/p1_crnn_seed42/checkpoints/rng_state.pth,64,2,,,,,
v2,p1_tinycnn_seed42-s42-b93a2a9e89c9,p1_tinycnn_seed42,sleep_event_classification,tinycnn,,2026-02-09T02:45:02.661Z,2026-02-09T03:11:11.235Z,1568.574553,42,b93a2a9e89c9,61795620aef853e5d9458a9a3c8595c33b0a45c2,True,mps,Apple MPS GPU,50,8,5,0.0,1,8,3,0.001,1e-05,64,Adam,,16000,64,5.0,"1.0,1.5,5.5",,,0.665697,0.736932,0.77723,0.760867,0.720423,0.720423,0.653096,0.768715,0.805683,0.774782,0.765795,0.765795,23491,,,0.089611,2.682424,results/runs/p1_tinycnn_seed42,results/runs/p1_tinycnn_seed42/metrics.json,results/runs/p1_tinycnn_seed42/epoch_metrics.csv,results/runs/p1_tinycnn_seed42/test_metrics.csv,results/runs/p1_tinycnn_seed42/class_metrics.csv,results/runs/p1_tinycnn_seed42/test_confusion_matrix.csv,results/runs/p1_tinycnn_seed42/checkpoints/best_model.pth,results/runs/p1_tinycnn_seed42/checkpoints/last_model.pth,results/runs/p1_tinycnn_seed42/checkpoints/optimizer_last.pth,,results/runs/p1_tinycnn_seed42/checkpoints/rng_state.pth,,,,,,,
v2,p1_tinycnn_cbam_rr4_sk3_seed42-s42-f680d00e1abf,p1_tinycnn_cbam_rr4_sk3_seed42,sleep_event_classification,tinycnn_cbam,,2026-02-09T03:40:31.910Z,2026-02-09T04:37:18.709Z,3406.799368,42,f680d00e1abf,61795620aef853e5d9458a9a3c8595c33b0a45c2,True,mps,Apple MPS GPU,50,11,5,0.0,1,11,6,0.001,1e-05,64,Adam,,16000,64,5.0,"1.0,1.5,5.5",,,0.801237,0.722525,0.760768,0.703665,0.760591,0.760591,0.725834,0.774789,0.812448,0.752925,0.824565,0.824565,24061,,,0.091785,2.84646,results/runs/p1_tinycnn_cbam_rr4_sk3_seed42,results/runs/p1_tinycnn_cbam_rr4_sk3_seed42/metrics.json,results/runs/p1_tinycnn_cbam_rr4_sk3_seed42/epoch_metrics.csv,results/runs/p1_tinycnn_cbam_rr4_sk3_seed42/test_metrics.csv,results/runs/p1_tinycnn_cbam_rr4_sk3_seed42/class_metrics.csv,results/runs/p1_tinycnn_cbam_rr4_sk3_seed42/test_confusion_matrix.csv,results/runs/p1_tinycnn_cbam_rr4_sk3_seed42/checkpoints/best_model.pth,results/runs/p1_tinycnn_cbam_rr4_sk3_seed42/checkpoints/last_model.pth,results/runs/p1_tinycnn_cbam_rr4_sk3_seed42/checkpoints/optimizer_last.pth,,results/runs/p1_tinycnn_cbam_rr4_sk3_seed42/checkpoints/rng_state.pth,,,4,3,cbam,,
v2,p1_tinycnn_cbam_rr4_sk7_seed42-s42-34bf6d8a7d41,p1_tinycnn_cbam_rr4_sk7_seed42,sleep_event_classification,tinycnn_cbam,,2026-02-09T04:38:21.925Z,2026-02-09T07:01:47.120Z,8605.195586,42,34bf6d8a7d41,61795620aef853e5d9458a9a3c8595c33b0a45c2,True,mps,Apple MPS GPU,50,28,5,0.0,1,28,23,0.001,1e-05,64,Adam,,16000,64,5.0,"1.0,1.5,5.5",,,0.640857,0.752489,0.79994,0.759448,0.74671,0.74671,0.606769,0.782754,0.826796,0.778529,0.787743,0.787743,24141,,,0.092091,2.25929,results/runs/p1_tinycnn_cbam_rr4_sk7_seed42,results/runs/p1_tinycnn_cbam_rr4_sk7_seed42/metrics.json,results/runs/p1_tinycnn_cbam_rr4_sk7_seed42/epoch_metrics.csv,results/runs/p1_tinycnn_cbam_rr4_sk7_seed42/test_metrics.csv,results/runs/p1_tinycnn_cbam_rr4_sk7_seed42/class_metrics.csv,results/runs/p1_tinycnn_cbam_rr4_sk7_seed42/test_confusion_matrix.csv,results/runs/p1_tinycnn_cbam_rr4_sk7_seed42/checkpoints/best_model.pth,results/runs/p1_tinycnn_cbam_rr4_sk7_seed42/checkpoints/last_model.pth,results/runs/p1_tinycnn_cbam_rr4_sk7_seed42/checkpoints/optimizer_last.pth,,results/runs/p1_tinycnn_cbam_rr4_sk7_seed42/checkpoints/rng_state.pth,,,4,7,cbam,,
v2,p1_tinycnn_cbam_rr4_sk11_seed42-s42-b7f6f469426e,p1_tinycnn_cbam_rr4_sk11_seed42,sleep_event_classification,tinycnn_cbam,,2026-02-09T07:02:50.427Z,2026-02-09T07:34:38.886Z,1908.458588,42,b7f6f469426e,61795620aef853e5d9458a9a3c8595c33b0a45c2,True,mps,Apple MPS GPU,50,6,5,0.0,1,6,1,0.001,1e-05,64,Adam,,16000,64,5.0,"1.0,1.5,5.5",,,1.073147,0.231087,0.530528,0.176843,0.333333,0.333333,1.07202,0.233322,0.53842,0.179473,0.333333,0.333333,24285,,,0.09264,2.375543,results/runs/p1_tinycnn_cbam_rr4_sk11_seed42,results/runs/p1_tinycnn_cbam_rr4_sk11_seed42/metrics.json,results/runs/p1_tinycnn_cbam_rr4_sk11_seed42/epoch_metrics.csv,results/runs/p1_tinycnn_cbam_rr4_sk11_seed42/test_metrics.csv,results/runs/p1_tinycnn_cbam_rr4_sk11_seed42/class_metrics.csv,results/runs/p1_tinycnn_cbam_rr4_sk11_seed42/test_confusion_matrix.csv,results/runs/p1_tinycnn_cbam_rr4_sk11_seed42/checkpoints/best_model.pth,results/runs/p1_tinycnn_cbam_rr4_sk11_seed42/checkpoints/last_model.pth,results/runs/p1_tinycnn_cbam_rr4_sk11_seed42/checkpoints/optimizer_last.pth,,results/runs/p1_tinycnn_cbam_rr4_sk11_seed42/checkpoints/rng_state.pth,,,4,11,cbam,,
v2,p1_tinycnn_cbam_rr8_sk3_seed42-s42-e815595d9fbd,p1_tinycnn_cbam_rr8_sk3_seed42,sleep_event_classification,tinycnn_cbam,,2026-02-09T07:35:42.116Z,2026-02-09T08:47:36.801Z,4314.684434,42,e815595d9fbd,61795620aef853e5d9458a9a3c8595c33b0a45c2,True,mps,Apple MPS GPU,50,14,5,0.0,1,14,9,0.001,1e-05,64,Adam,,16000,64,5.0,"1.0,1.5,5.5",,,0.603281,0.75374,0.788315,0.746008,0.764195,0.764195,0.541651,0.797667,0.827361,0.78415,0.820947,0.820947,23801,,,0.090794,2.278321,results/runs/p1_tinycnn_cbam_rr8_sk3_seed42,results/runs/p1_tinycnn_cbam_rr8_sk3_seed42/metrics.json,results/runs/p1_tinycnn_cbam_rr8_sk3_seed42/epoch_metrics.csv,results/runs/p1_tinycnn_cbam_rr8_sk3_seed42/test_metrics.csv,results/runs/p1_tinycnn_cbam_rr8_sk3_seed42/class_metrics.csv,results/runs/p1_tinycnn_cbam_rr8_sk3_seed42/test_confusion_matrix.csv,results/runs/p1_tinycnn_cbam_rr8_sk3_seed42/checkpoints/best_model.pth,results/runs/p1_tinycnn_cbam_rr8_sk3_seed42/checkpoints/last_model.pth,results/runs/p1_tinycnn_cbam_rr8_sk3_seed42/checkpoints/optimizer_last.pth,,results/runs/p1_tinycnn_cbam_rr8_sk3_seed42/checkpoints/rng_state.pth,,,8,3,cbam,,
v2,p1_tinycnn_cbam_rr8_sk7_seed42-s42-e8853a0d7824,p1_tinycnn_cbam_rr8_sk7_seed42,sleep_event_classification,tinycnn_cbam,,2026-02-09T08:48:40.063Z,2026-02-09T09:30:32.399Z,2512.336538,42,e8853a0d7824,61795620aef853e5d9458a9a3c8595c33b0a45c2,True,mps,Apple MPS GPU,50,8,5,0.0,1,8,3,0.001,1e-05,64,Adam,,16000,64,5.0,"1.0,1.5,5.5",,,0.705529,0.71825,0.752744,0.720282,0.716879,0.716879,0.745583,0.716119,0.7613,0.702382,0.74345,0.74345,23881,,,0.091099,2.237742,results/runs/p1_tinycnn_cbam_rr8_sk7_seed42,results/runs/p1_tinycnn_cbam_rr8_sk7_seed42/metrics.json,results/runs/p1_tinycnn_cbam_rr8_sk7_seed42/epoch_metrics.csv,results/runs/p1_tinycnn_cbam_rr8_sk7_seed42/test_metrics.csv,results/runs/p1_tinycnn_cbam_rr8_sk7_seed42/class_metrics.csv,results/runs/p1_tinycnn_cbam_rr8_sk7_seed42/test_confusion_matrix.csv,results/runs/p1_tinycnn_cbam_rr8_sk7_seed42/checkpoints/best_model.pth,results/runs/p1_tinycnn_cbam_rr8_sk7_seed42/checkpoints/last_model.pth,results/runs/p1_tinycnn_cbam_rr8_sk7_seed42/checkpoints/optimizer_last.pth,,results/runs/p1_tinycnn_cbam_rr8_sk7_seed42/checkpoints/rng_state.pth,,,8,7,cbam,,
v2,p1_tinycnn_cbam_rr8_sk11_seed42-s42-742ac8ce4533,p1_tinycnn_cbam_rr8_sk11_seed42,sleep_event_classification,tinycnn_cbam,,2026-02-09T09:31:35.610Z,2026-02-09T10:03:33.489Z,1917.879111,42,742ac8ce4533,61795620aef853e5d9458a9a3c8595c33b0a45c2,True,mps,Apple MPS GPU,50,6,5,0.0,1,6,1,0.001,1e-05,64,Adam,,16000,64,5.0,"1.0,1.5,5.5",,,1.070571,0.231087,0.530528,0.176843,0.333333,0.333333,1.069289,0.233322,0.53842,0.179473,0.333333,0.333333,24025,,,0.091648,2.389753,results/runs/p1_tinycnn_cbam_rr8_sk11_seed42,results/runs/p1_tinycnn_cbam_rr8_sk11_seed42/metrics.json,results/runs/p1_tinycnn_cbam_rr8_sk11_seed42/epoch_metrics.csv,results/runs/p1_tinycnn_cbam_rr8_sk11_seed42/test_metrics.csv,results/runs/p1_tinycnn_cbam_rr8_sk11_seed42/class_metrics.csv,results/runs/p1_tinycnn_cbam_rr8_sk11_seed42/test_confusion_matrix.csv,results/runs/p1_tinycnn_cbam_rr8_sk11_seed42/checkpoints/best_model.pth,results/runs/p1_tinycnn_cbam_rr8_sk11_seed42/checkpoints/last_model.pth,results/runs/p1_tinycnn_cbam_rr8_sk11_seed42/checkpoints/optimizer_last.pth,,results/runs/p1_tinycnn_cbam_rr8_sk11_seed42/checkpoints/rng_state.pth,,,8,11,cbam,,
v2,p1_tinycnn_cbam_rr16_sk3_seed42-s42-33902e0b6f9e,p1_tinycnn_cbam_rr16_sk3_seed42,sleep_event_classification,tinycnn_cbam,,2026-02-09T10:04:36.715Z,2026-02-09T11:56:39.461Z,6722.7464,42,33902e0b6f9e,61795620aef853e5d9458a9a3c8595c33b0a45c2,True,mps,Apple MPS GPU,50,22,5,0.0,1,22,17,0.001,1e-05,64,Adam,,16000,64,5.0,"1.0,1.5,5.5",,,0.603738,0.748237,0.786365,0.738783,0.761939,0.761939,0.550301,0.784293,0.821473,0.768222,0.820446,0.820446,23671,,,0.090298,2.247746,results/runs/p1_tinycnn_cbam_rr16_sk3_seed42,results/runs/p1_tinycnn_cbam_rr16_sk3_seed42/metrics.json,results/runs/p1_tinycnn_cbam_rr16_sk3_seed42/epoch_metrics.csv,results/runs/p1_tinycnn_cbam_rr16_sk3_seed42/test_metrics.csv,results/runs/p1_tinycnn_cbam_rr16_sk3_seed42/class_metrics.csv,results/runs/p1_tinycnn_cbam_rr16_sk3_seed42/test_confusion_matrix.csv,results/runs/p1_tinycnn_cbam_rr16_sk3_seed42/checkpoints/best_model.pth,results/runs/p1_tinycnn_cbam_rr16_sk3_seed42/checkpoints/last_model.pth,results/runs/p1_tinycnn_cbam_rr16_sk3_seed42/checkpoints/optimizer_last.pth,,results/runs/p1_tinycnn_cbam_rr16_sk3_seed42/checkpoints/rng_state.pth,,,16,3,cbam,,
v2,p1_tinycnn_cbam_rr16_sk7_seed42-s42-6392396141ae,p1_tinycnn_cbam_rr16_sk7_seed42,sleep_event_classification,tinycnn_cbam,,2026-02-09T11:57:42.779Z,2026-02-09T12:28:48.472Z,1865.693681,42,6392396141ae,61795620aef853e5d9458a9a3c8595c33b0a45c2,True,mps,Apple MPS GPU,50,6,5,0.0,1,6,1,0.001,1e-05,64,Adam,,16000,64,5.0,"1.0,1.5,5.5",,,1.075499,0.231087,0.530528,0.176843,0.333333,0.333333,1.07449,0.233322,0.53842,0.179473,0.333333,0.333333,23751,,,0.090603,2.264647,results/runs/p1_tinycnn_cbam_rr16_sk7_seed42,results/runs/p1_tinycnn_cbam_rr16_sk7_seed42/metrics.json,results/runs/p1_tinycnn_cbam_rr16_sk7_seed42/epoch_metrics.csv,results/runs/p1_tinycnn_cbam_rr16_sk7_seed42/test_metrics.csv,results/runs/p1_tinycnn_cbam_rr16_sk7_seed42/class_metrics.csv,results/runs/p1_tinycnn_cbam_rr16_sk7_seed42/test_confusion_matrix.csv,results/runs/p1_tinycnn_cbam_rr16_sk7_seed42/checkpoints/best_model.pth,results/runs/p1_tinycnn_cbam_rr16_sk7_seed42/checkpoints/last_model.pth,results/runs/p1_tinycnn_cbam_rr16_sk7_seed42/checkpoints/optimizer_last.pth,,results/runs/p1_tinycnn_cbam_rr16_sk7_seed42/checkpoints/rng_state.pth,,,16,7,cbam,,
